This list is in case you purchased this animation set to use in another engine or application. It is for Protof-Actor@AssaultRifleAnimset.fbx


Animation List:
RunBackwardsAimingAssaultRifle_RM: 2790-2808
RunBackwardsRightAimingAssaultRifle_RM: 2820-2838
RunForwardLeftAimingAssaultRifle_RM: 2850-2868
RunForwardRightAimingAssaultRifle_RM: 2880-2898
RunBackwardsLeftAimingAssaultRifle_RM: 2910-2928
RunRightAimingAssaultRifle_RM: 2940-2958
RunLeftAimingAssaultRifle_RM: 2970-2988

CrouchidleLookAroundAssaultRifle: 3000-3169
CrouchIdleAssaultRifle: 3180-3260

CrouchForwardAssaultRifle: 3270-3320
CrouchBackwardsAssaultRifle: 3330-3380
CrouchForwardAssaultRifle_RM: 3390-3440
CrouchBackwardsAssaultRifle_RM: 3450-3500

CrouchAimingAssaultRifle: 3510-3580
CrouchShootPrimaryAssaultRifle: 3590-3594
CrouchShootPrimaryBurstAssaultRifle: 3605-3632
CrouchShootSecondaryAssaultRifle: 3645-3684
CrouchThrowGrenade1AssaultRifle: 3695-3775
CrouchThrowGrenade2AssaultRifle: 3785-3875

CrouchForwardAimingAssaultRifle: 3885-3935
CrouchBackwardsAimingAssaultRifle: 3945-3995
CrouchRightAimingAssaultRifle: 4005-4055
CrouchLeftAimingAssaultRifle: 4065-4115
CrouchForwardLeftAimingAssaultRifle: 4125-4175
CrouchBackwardsRightAimingAssaultRifle: 4185-4235
CrouchForwardRightAimingAssaultRifle: 4245-4295
CrouchBackwardsLeftAimingAssaultRifle: 4305-4355
CrouchForwardAimingAssaultRifle_RM: 4365-4415
CrouchBackwardsAimingAssaultRifle_RM: 4425-4475
CrouchRightAimingAssaultRifle_RM: 4485-4535
CrouchLeftAimingAssaultRifle_RM: 4545-4595
CrouchForwardLeftAimingAssaultRifle_RM: 4605-4655
CrouchBackwardsRightAimingAssaultRifle_RM: 4665-4715
CrouchForwardRightAimingAssaultRifle_RM: 4725-4775
CrouchBackwardsLeftAimingAssaultRifle_RM: 4785-4835

IdleToIdleTakeCoverStandingAssaultRifle: 4850-4880
IdleToIdleTakeCoverStandingAssaultRifle_RM: 4890-4920
IdleTakeCoverStandingAssaultRifle: 4930-4990
StrafeRightTakeCoverStandingAssaultRifle: 5000-5025
StrafeLeftTakeCoverStandingAssaultRifle: 5035-5060
StrafeRightTakeCoverStandingAssaultRifle_RM: 5070-5095
StrafeLeftTakeCoverStandingAssaultRifle_RM: 5105-5130
GoToPeekLeftStandingAssaultRifle: 5140-5167
PeekLeftIdleStandingAssaultRifle: 5175-5235
PeekLeftToIdleStandingAssaultRifle: 52445-5272
GoToPeekRightStandingAssaultRifle: 5280-5307
PeekRightIdleStandingAssaultRifle: 5315-5375
PeekRightToIdleStandingAssaultRifle: 5385-5412
GoOutOfCoverLeftStandingAssaultRifle: 5425-5446
GoBackToCoverLeftStandingAssaultRifle: 5455-5476
GoOutOfCoverRightStandingAssaultRifle: 5485-5506
GoBackToCoverRightStandingAssaultRifle: 5515-5535
GoOutOfCoverLeftStandingAssaultRifle_RM: 5545-5566
GoBackToCoverLeftStandingAssaultRifle_RM: 5575-5596
GoOutOfCoverRightStandingAssaultRifle_RM: 5605-5626
GoBackToCoverRightStandingAssaultRifle_RM: 5635-5655
TakeCoverThrowGrenadeRightStandingAssaultRifle: 5665-5775
TakeCoverThrowGrenadeLeftStandingAssaultRifle: 5795-5895

IdleToIdleTakeCoverCrouchingAssaultRifle: 5905-5935
IdleToIdleTakeCoverCrouchingAssaultRifle_RM: 5945-5975
IdleTakeCoverCrouchingAssaultRifle: 5985-6045
GoToPeekLeftCrouchingAssaultRifle: 6055-6073
PeekLeftIdleCrouchingAssaultRifle: 6080-6140
PeekLeftToIdleCrouchingAssaultRifle: 6150-6168
GoToPeekRightCrouchingAssaultRifle: 6180-6198
PeekRightIdleCrouchingAssaultRifle: 6210-6270
PeekRightToIdleCrouchingAssaultRifle: 6280-6298
StrafeLeftTakeCoverCrouchingAssaultRifle: 6310-6335
StrafeRightTakeCoverCrouchingAssaultRifle: 6345-6370
StrafeLeftTakeCoverCrouchingAssaultRifle_RM: 6380-3405
StrafeRightTakeCoverCrouchingAssaultRifle_RM: 6415-6440
GoOutOfCoverLeftCrouchingAssaultRifle: 6450-6471
GoBackToCoverLeftCrouchingAssaultRifle: 6485-6506
GoOutOfCoverRightCrouchingAssaultRifle: 6520-6541
GoBackToCoverRightCrouchingAssaultRifle: 6555-6576
GoOutOfCoverLeftCrouchingAssaultRifle_RM: 6590-6611
GoBackToCoverLeftCrouchingAssaultRifle_RM: 6625-6646
GoOutOfCoverRightCrouchingAssaultRifle_RM: 6660-6681
GoBackToCoverRightCrouchingAssaultRifle_RM: 6695-6716
TakeCoverThrowGrenadeRightCrouchingAssaultRifle: 6730-6825
TakeCoverThrowGrenadeLeftCrouchingAssaultRifle: 6835-6920
IdlkeTakeCoverCrouchingToIdleAssaultRifle: 6930-6957
IdleToIdleTakeCoverCrouchingAssaultRifle: 6970-6997
IdlkeTakeCoverCrouchingToIdleAssaultRifle: 7010-7037
IdleToIdleTakeCoverCrouchingAssaultRifle: 7050-7077

ClimbHalfMeterObstacleLeftAssaultRifle: 7090-7123
ClimbHalfMeterObstacleRightAssaultRifle: 7135-7165
ClimbHalfMeterObstacleLeftAssaultRifle_RM: 7180-7213
ClimbHalfMeterObstacleRightAssaultRifle_RM: 7225-7255
Climb1MeterObstacleAssaultRifle: 7270-7312
Climb1MeterObstacleAssaultRifle_RM: 7325-7367
Climb2MetersObstacleAssaultRifle: 7380-7482
Climb2MetersObstacleAssaultRifle_RM: 7495-7597

Pass1MeterObstacleLeftAssaultRifle: 7610-7656
Pass1MeterObstacleRightAssaultRifle: 7670-7714
Pass1MeterObstacleLeftAssaultRifle_RM: 7725-7770
Pass1MeterObstacleRightAssaultRifle_RM: 7785-7829

DodgeForwardAssaultRifle: 7840-7890
DodgeBackwardsAssaultRifle: 7900-7937
DodgeLeftAssaultRifle: 7945-7992
DodgeRightAssaultRifle: 8005-8052
DodgeForwardAssaultRifle_RM: 8065-8115
DodgeBackwardsAssaultRifle_RM: 8125-8161
DodgeLeftAssaultRifle_RM: 8170-8217
DodgeRightAssaultRifle_RM: 8230-8277

GetHitLightFrontAssaultRifle: 8290-8313
GetHitLightBackAssaultRifle: 8325-8355
GetHitLightLeftAssaultRifle: 8365-8398
GetHitLightRightAssaultRifle: 8410-8444
GetHitHeavyFrontAssaultRifle: 8455-8489
GetHitHeavyBackAssaultRifle: 8500-8554
GetHitHeavyLeftAssaultRifle: 8565-8605
GetHitHeavyRightAssaultRifle: 8615-8657
GetHitHeavyFrontAssaultRifle_RM: 8670-8704
GetHitHeavyBackAssaultRifle_RM: 8715-8769
GetHitHeavyLeftAssaultRifle_RM: 8780-8820
GetHitHeavyRightAssaultRifle_RM: 8830-8872

DeathFrontAssaultRifle: 8880-8966
DeadFront: 8980-8995
GetBackUpFront: 9005-9085
DeathBackAssaultRifle: 9095-9190
DeadBack: 9200-9215
GetBackUpBack: 9225-9321
DeathRightAssaultRifle: 9330-9405
DeadRight: 9415-9430
GetBackUpRight: 9440-9530
DeathLeftAssaultRifle: 9540-9636
DeadLeft: 9645-9660
GetBackUpLeft: 9670-9775
ReloadAssulatRifle: 9785-9935
